,title,overall_review,pros,cons,since,date,rating
1527,Fast Hard Drive Firmware Update Issue,"
Overall Review:
            My trust is rather low, before I had good luck with OCZ SSDs with only one failure out of 50 or so. Also WHEN SAMSUNGS SAYS YOU NEED   Backup before firmware that means You NEED Backup, otherwise do not update firmware or be ready for possible data loss.
        ","
Pros:
                Very Fast when it works
            ","
Cons:
                Purchased two drives for two systems, one worked just fine, installed Magician and updated the firmware no problem. On the second drive worked fine until Magician updated the firmware and asked to reboot, except dirve could not be detected in Bios after that. Tried different machine, ports etc nothing. Was a known problem earlier but seems it is still lingering. Sent in RMA Request got email, responded but no reply after two days or any other information.
            ",Ownership: 1 week to 1 month,10/6/2015 3:44:51 PM,3
1528,Dependable and fast,"
Overall Review:
            There are many brands you should worry about the quality and stability of the product.  Samsung is not one of them.
        ","
Pros:
                Samsung is one of only 2 brands I trust for SSDs (other is Intel).Between work and home, I've installed about a dozzen of these in the last year.  No problems.
            ","
Cons:
                Does not come with the USB attachment anymore...  or stickers!
            ",Ownership: 1 month to 1 year,10/6/2015 3:25:35 PM,5
1529,Great SSD,,"
Pros:
                Great SSD, first time ever using one and had my doubts on a Samsung since I did have several bad times from them. Installed and managed to clone OS. Works great and does bring down loading times.
            ","
Cons:
                No cons as of yet.
            ",Ownership: 1 week to 1 month,10/6/2015 11:17:42 AM,5
1530,One of the best on the market.,"
Overall Review:
            While I know it's a ridiculously fast and very reliable drive, I really didn't notice much improvement with my computer overall, between loading Windows and games... maybe it saves me a few seconds here and there... but it's no lightning speed like most ppl hype SSDs to be, not even close. It's not the drive's fault or whether or not I set the drive up properly, cuz I did... I followed all the procedures to maximize the performances and the bench tests confirm it's crazy speeds. It's likely just the rest of the computer holding it back when loading stuff. I'm just glad I waited this long to officially own my first SSD when the prices finally became reasonable.PC: Asus M4A89GTD PRO, AMD X4 965 @ 4GHz with Aftermarket cooler, 4x2GB DDR3 ram 1600MHz 9-9-9-24, GTX 660 S2 3GB, Win7
        ","
Pros:
                - Based on my extensive research, it's one of the best drives on the market (best one being the Pro version of this drive), and it's surprisingly cheaper than some of the other drives too probably because of them being high in demand.
            ","
Cons:
                None
            ",Ownership: 1 week to 1 month,10/5/2015 2:37:29 AM,5
1531,850 evo,"
Overall Review:
            my rig:ASUS X99-A/USB 3.1 MB--Intel Core i7-5930K--Ripjaws 4 Series 32GB (4 x 8GB)--2X SAPPHIRE Radeon R9 390X--HyperX Predator M.2x4 2280 240GB o/s drive--2X SAMSUNG 850 EVO 2.5"" 250GB SSD's in raid0 game drive--WD Green 2TB IntelliPower HDD storage drive--EVGA 220-P2-1200 W power supply--Cooler Master HAF XB EVO case w/ heavy mods--9x fans from 80mm to 300mm.
        ","
Pros:
                Were easy to install,Recognized on first try.Set up in raid with no problems.I have not bench marked this rig yet other than burn in but they seem as fast as any 2 unit raid I have set up.
            ","
Cons:
                None yet, but they are brand new.
            ",Ownership: 1 month to 1 year,10/4/2015 11:39:35 AM,5
1532,Faster than someone with IBS after eating Taco Bell,,"
Pros:
                I recently put together a new machine, choosing to go with an SSD instead of retaining my older 500GB 10,000rpm WD Raptor drive. This drive is running very well, is extremely fast overall, even more so in Windows 10, and has cut my boot time down to 2 seconds on a cold start. It is a great buy at it's current price point of $179.99, which is the same price I paid for it. I would highly recommend this drive to anyone looking for a fast, reliable SSD with a great warranty.
            ","
Cons:
                None
            ",Ownership: 1 week to 1 month,10/3/2015 12:59:48 AM,5
1533,Issues Issues Issues,,"
Pros:
                sturdy build.light weight.dark color so it's not easily seen.
            ","
Cons:
                See other thoughts.
            ",Ownership: 1 month to 1 year,10/3/2015 12:54:31 AM,2
1534,Great performance,"
Overall Review:
            The speed difference is negligable over the 850 pro and the price is much better. Samsung are still the reigning champs of good, affordable SSD's at least until lower-priced m.2/NVME SSD's come along.
        ","
Pros:
                I own two of these and use them in a hardware RAID 0. They are probably the best quality SSD's I've tested in their price range.-Easy installation.-Very good performance (especially in RAID 0)-Long lasting-TRIM support-Samsung Magician software is great and lightweight with Built-in SMART values and real-time usage stats.
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,10/1/2015 1:24:59 PM,5
1535,SSD Died? Really?,"
Overall Review:
            For anybody thinking of getting an SSD. Do it. Just make sure you create a crash plan, these things are not as reliable as they claim to be. As for repairing them, good luck. We found that the main controller had failed. It wasn't a solder issue but the chip it's self, just dead. We had to buy another, replace the chip then spend hours scouring the drive for information. Unfortunately this chip resets the drives cache switches so it deleted everything. In short, if this drive fails don't waste money on expensive recovery options, unless it is a simple solder issue chances are very high that the information will be un-recoverable.
        ","
Pros:
                I have ordered 50 of these in the last year, all work very well. They are fast and breathe new life into any computer with SATA.
            ","
Cons:
                One of the Computers I built in the last year died suddenly with no warning at all of impending doom. This was 7 months after it entered service. There was a raid array for file backups, but the user decided to turn off backup and restore because Samsung drives are rated for 1 million plus hours. Well we got less than 30k hours out of it. Here is my big problem. Obviously I build computers and work on lots of them, so when a drive with valuable data crashes we want to know why and see if it is repairable. By deciding to look at why this drive has crashed we voided the warranty. Samsung wont repair the faulty drive so what am I supposed to do? We have valuable data on that drive. Why do I have to take the hit for this failure because Samsung cant stand behind their product when it fails?
            ",Ownership: 1 month to 1 year,9/30/2015 2:15:27 PM,1
1536,"Great Drive, Poor compatibility!",,"
Pros:
                Samsung makes great products. SSD's are outstanding.
            ","
Cons:
                Ordered two of these intending to run a RAID0 setup for system drive. Gigabyte UD5 mobo with 990FX chipset detected drives, setup however Win7, 8,10 64bit will not initialize them for use. A single works perfectly.
            ",Ownership: 1 month to 1 year,9/30/2015 12:04:44 PM,3
1537,Still No Windows 10 Support,,"
Pros:
                Supposed to be a good SSD
            ","
Cons:
                No Windows 10 Software.  There is still no software to operate or  migrate another disk to a windows 10 system.
            ",Ownership: 1 month to 1 year,9/30/2015 4:11:19 AM,2
1538,Not all that and a bag of chips...,"
Overall Review:
            I had far better luck with my old, first generation OCZ ssd, and my new Mushkins.  I haven't experienced any compatibility issues, or any of the flakiness I've noticed with the Samsung SSD's.  On paper the Samsung SSD's are the best money can buy, but in practice, I doubt I'll be buying any more of them.
        ","
Pros:
                Blazing fast.
            ","
Cons:
                Will not be detected in RAID or UEFI mode on an AMD 9xx series chipset board.  Your only option will be oprom/mbr with CSM activated as standalone drives on these chipsets.I've now purchased four Samsung SSD's and talked to a friend who has owned even more of them.  I've noticed a trend.  Of the 9 Samsung SSD's we discussed, 3 of them have failed shortly after purchase.  And I'm noticing some flakiness which might well be related to the Samsung SSD on this computer.  They were all Samsung 800 series SSD's.
            ",Ownership: 1 week to 1 month,9/29/2015 7:06:36 PM,3
1539,,"
Overall Review:
            I wish it came with screws since I seem to have lost mine, but that's on me. For the record, mine came in at about 465 GB after a clean format, but yours may vary.
        ","
Pros:
                Fast load times on pretty much all games. Price per performance is insanely high for this drive.
            ","
Cons:
                None
            ",Ownership: 1 week to 1 month,9/28/2015 5:06:59 PM,5
1540,great buy,"
Overall Review:
            It's a very good ssd, other than the lack of cable I have no complains.
        ","
Pros:
                Very fast
            ","
Cons:
                No cable provided, you must buy your own.
            ",Ownership: 1 month to 1 year,9/28/2015 4:39:50 PM,5
1541,850 Evo,"
Overall Review:
            I would recommend if you are looking to upgrade your HD.
        ","
Pros:
                Very fast! It completely changed my experience of computing. I still used an old 500 GB 7,000 rpm with windows 7. Load time of Windows and key programs is incredible.
            ","
Cons:
                After about 6 months the drive randomly started freezing intermittently on startup of windows. It seems like i have to reinstall windows 7 again or there is an issue with the drive. I sure hope not because Samsung is a quality company IMO.
            ",Ownership: 1 month to 1 year,9/28/2015 2:40:50 PM,4
1542,Excellent.,"
Overall Review:
            I did a clean install of Win10 Home on this SSD. Aside from some crucial programs, my favorite games are also installed. I have Win10 set to automatic login so its just a matter of seconds from turning on my rig to getting to my desktop with all my startup programs already loaded. I have zero regrets on this SSD. Perhaps I should have gotten the 500GB instead of the 250GB but it was reasonably priced when I bought it. I highly recommend it. I'm considering getting another and running RAID 0.
        ","
Pros:
                Extremely fast. This is my first SSD. I've always used mechanical drives so the difference at first impression was tremendous. I set all my programs such as Steam / Origin / AMD Gaming Evolved / Battlenet / Teamspeak on top of my other startup programs and to put it simply, they are all ready as soon as you log into Windows. Also, some games such as CS:GO, Battlefield 4 for example, do load faster when installed on the SSD.
            ","
Cons:
                It's a bare drive. I had extra screws and all-purpose brackets for my tower to accommodate the SSD but you should probably buy extra screws if you don't have, as this hard drive comes with no other accessories aside from the SSD. There is also no SATA to USB adapter for the data migration software, so if you were planning on doing that, be sure to pick up a cable with your order.
            ",Ownership: 1 week to 1 month,9/28/2015 12:14:51 PM,5
1543,Fast and lots of space,"
Overall Review:
            We've used hundreds of Samsung SSDs for years in all our servers at my work for years with stellar results, so when it came time to buy one for one of my personal systems, the choice was pretty obvious.System specs:HP Z800 Workstation2x Xeon X5675 (6 core/12 threads each)48GB ECC DDR3-1333 Samsung 850 EVO 1TB (OS)3x 600GB SAS 15K rpm (RAID5 in LSI-9260 controller)EVGA GTX 660 3GB SuperClocked (to be upgraded)Pretty much set for the next few years.
        ","
Pros:
                Fast, large amounts of space, and one of the best warranties among SSDs.
            ","
Cons:
                None.
            ",Ownership: 1 week to 1 month,9/27/2015 7:39:17 PM,5
1544,,,"
Pros:
                Runs fast, boots quickly, loads everything exceptionally fast.
            ","
Cons:
                I know some other SSDs come with a 2.5 to 3.5 bracket but this one does not.
            ",Ownership: 1 week to 1 month,9/27/2015 2:54:26 PM,5
1545,,"
Overall Review:
            I bought this to replace a slowly failing 1TB WD Blue HDD for booting.  Now it runs Windows 10 on a SATA2 port (MSI Big Bang Trinergy with Core i7-860).  No, that's not a typo.  Benchmarks:  Sequential Read 285 MB/s, Sequential Write 273 MB/s, Random Read 52,398 IOPS, Random Write 49,102 IOPS.  All this without RAPID.  I have a replacement 1TB acting as file storage.I can't wait to see what the 1TB 850 EVO I just bought for my new PC build (SKYLAKE) will do with SATA3.  ^.^
        ","
Pros:
                Vertical-NAND, SATA3, Samsung Magician software (download).  All good stuff.  The Magician software auto-configured Windows 7 for proper running.  This prevented me from having to do registry tweaks and disabling services.
            ","
Cons:
                None so far.
            ",Ownership: 1 month to 1 year,9/26/2015 8:56:58 PM,5
1546,Great but similar real life performance to cheap SSDs,"
Overall Review:
            Nothing so ground breaking here.
        ","
Pros:
                Fast and reliable so far.
            ","
Cons:
                Real life speeds are very similar to other cheaper SSDs.
            ",Ownership: 1 week to 1 month,9/26/2015 8:30:44 PM,4
1547,Fast,,"
Pros:
                Fast as you can expect without being NVME. Lots of Storage for the money.
            ","
Cons:
                None
            ",Ownership: 1 week to 1 month,9/24/2015 2:53:16 PM,5
1548,So far so good,"
Overall Review:
            Get the EVO PRO, looks like they fixed the issue with that one.
        ","
Pros:
                Had some issues with one I bought a year ago with the firm update crashing my system. This one is working out well so far, I will update if it crashes.
            ","
Cons:
                Known issue with firmware updates
            ",Ownership: 1 month to 1 year,9/24/2015 4:39:12 AM,4
1549,works as rated,"
Overall Review:
            got good price... i like it
        ","
Pros:
                less the a hundred for 250GB bought in spring 2015works as rated. got good deal.
            ","
Cons:
                540 by 460 MB/s speed in Samsung app. little less then advertised, when in use
            ",Ownership: 1 month to 1 year,9/23/2015 7:01:39 PM,5
1550,Great Drive,"
Overall Review:
            just a tech note for general information. Currently there are very few cloning or migration tools that are compatible with Windows 10. Do a little research and you will find that technical workarounds exist. I did not use the included Samsung tool, as I had already found a way to make EZ Gig cloning work with Windows 10.
        ","
Pros:
                I started buying Samsung SSD about 2 years ago. i have been very happy with price performance ratio it just keeps getting better and better. This drive replaces a 64GB Crucial Drive nothing wrong with the old drive just ran out of space.I used the Apricorn USB3 Notebook drive upgrade kit with EZ Gig Cloning Software , run this cloning software from the CD or windows 10 will barf.  VERY important do not INSTALL the cloning software to a Windows 10 system AGAIN RUN IT DIRECTLY FROM THE CD and it works Jim dandy tickty-boo !!!
            ","
Cons:
                none for me
            ",Ownership: 1 week to 1 month,9/23/2015 12:57:43 PM,5
1551,tracking snafu,,"
Pros:
                item was what i ordered- and is working perfectly
            ","
Cons:
                i could not track the item as the tracking email referenced USPS but the item shipped UPS/USPS
            ",Ownership: 1 week to 1 month,9/23/2015 6:57:57 AM,3
1552,Randomly crashes,"
Overall Review:
            Pay extra for the larger storage capacity. Thank me later.
        ","
Pros:
                It's really fast. Does everything a SSD is supposed to.
            ","
Cons:
                Ever since I introduced mine to my PC, I've experienced sporadic crashes. This is most common during bootup. Doesn't seem to be a rhyme or reason behind it. Likely I just received a faulty product.
            ",Ownership: 1 month to 1 year,9/23/2015 6:31:50 AM,2
1553,Secrets to Get This To Work,"
Overall Review:
            Samsung's instructions do not mention having to change the boot options (F12 on Dell) when using UEFI and a secure boot BIOS. Plus the drive installs without all of its high speed features enabled.  You have to manually enable them using the Samsung Magician SW.   The included Samsung Data Migration SW did move my Win 8.1 HD to the SSD.I purchased the 500 MB Samsung 850 EVO instead of the 1TB drive to update a laptop and I assume this drive will use slightly less power as there is 1/2 of the RAM on board.  The reviews I checked did not show a difference in standby power between EVO and PRO models.  I hope that's true for use on my laptop.
        ","
Pros:
                Installed this drive in a Dell Inspiron 15 7548 Laptop.  Formats to 464 GB.  Used Samsung Data Migration SW to copy my existing HD with Win 8.1.  Then you have to use Samsung Magician SW to enable high speed features including a RAM disk buffer.  Note the RAM disk buffer uses part of your system memory.
            ","
Cons:
                The first time you boot this drive Dell's BIOS give us a ""No Bootable Device Found"" error.  You must use (F12) Boot Options to tell the system to boot from the SSD for the first time.  Bios Settings (F2) do not show an option to boot from the SSD.  Worked with Dell Chat Session and verified we can't change boot options using the BIOS.  They recommended booting from a recovery USB stick and reloading Win 8.1.  When you insert the USB stick to boot, you have to hit Boot Options (F12), and then there is a choice to boot from the SSD!  So we didn't need a recovery disk to reload the OS :)
            ",Ownership: 1 week to 1 month,9/23/2015 6:15:17 AM,4
1554,Installation SW doesn't work with Windows 10,"
Overall Review:
            If you do the research, you will find there are many comments out there from folks who chose this unit primarily because it is the only SSD that comes with installation software, but they could not use this software under Windows 10. Also note that most of the DOA complaints probably stem from the fact that the Samsung software does not even recognize the drive under Windows 10.
        ","
Pros:
                It runs great once you get it installed.
            ","
Cons:
                The ad for this unit claims:""One-stop Install Navigator SoftwareIn three simple steps, the Samsung One-stop Install Navigator software easily allows you to migrate all the data and applications from your existing drive to the 850 EVO. The included Samsung Magician software also allows you to setup, optimize, and manage your system for peak SSD performance."" It should have a note that says: ""Samsung Navigator and Samsung Magician do not work with Windows 10""
            ",Ownership: 1 week to 1 month,9/23/2015 3:43:57 AM,1
1555,Great SSD,,"
Pros:
                This SSD is very fast, and boasts a high capacity. Perfect match for my needs in a good boot drive. I definitely recommend this drive!
            ","
Cons:
                None at this time
            ",Ownership: less than 1 day,9/22/2015 6:31:17 PM,5
1556,need to know for an OSX install...,"
Overall Review:
            There are a few ways to accomplish the install, but essentially you are going to find a way to clone your existing HDD to the SSD either through OSX or a 3rd Party app, then remove your HDD and replace with the SSD and after a boot with the new SSD (if you didn't screw up the clone ~4 hours of copying) you need to enable Trim, once again either through OSX or a 3rd Party app...
        ","
Pros:
                Fast, reliable, great price, perfect upgrade for pre SSD MacBook Pro's
            ","
Cons:
                Zero support from Apple or Samsung... You are on your own for the complete install, completely opposite a PC3rd Party apps at cost are almost essential for a better user experience and installSamsung included disk is worthless to OSX, the entire disk is for PC (EXE's only for Migration and Enhancement Software)
            ",Ownership: less than 1 day,9/22/2015 1:50:16 PM,5
1557,,,"
Pros:
                As long as you have the hardware (cables, etc.) the software makes updating from a smaller and , in my case, older SSD a breeze
            ","
Cons:
                None so far
            ",Ownership: 1 month to 1 year,9/21/2015 1:13:27 PM,5
1558,Best SSD for the money you can get!,"
Overall Review:
            GET THIS DRIVE!!! you won't be disappointed!
        ","
Pros:
                This drive is SUPER fast. Got this for a new Skylake build, running Win10 Pro. Windows boots in about 5-10 seconds, NO issues being picked up in bios on first install. Did I mention this drive was fast? Yea, it's fast. If you have an mechanical HDD, this will be a huge upgrade, if you have an old ssd, this will STILL be an upgrade. (this replaced my old Crucial M4 ssd, and this Evo drive blows it out of the water!
            ","
Cons:
                none
            ",Ownership: 1 week to 1 month,9/21/2015 7:06:41 AM,5
1559,great,,"
Pros:
                Really Fast
            ","
Cons:
                None
            ",Ownership: 1 week to 1 month,9/21/2015 5:35:12 AM,5
1560,Not supported by AMD onboard RAID,"
Overall Review:
            I plan on buying a hardware RAID card to move my RAID 1 array off of the onboard SATA ports, so I can change them to AHCI. I did to one test run with RAID off and AHCI on, and the SSD performed very fast. I didn't do any tests with numbers or whatever, but I did use the computer how I normally would and noticed a dramatic increase in performance.
        ","
Pros:
                FastStores data
            ","
Cons:
                My AMD motherboard supports hardware RAID, but the onboard RAID controller doesn't support this SSD. It won't even work if I make the SSD a single disk, which was my plan. I have an existing RAID 1 array, and that's the only reason I even have RAID on. So now, my new SSD and my current OS SSD are both plugged into non-RAID SATA ports, but I can only make them IDE emulated, so they're running slower than they could. Not really Samsung's fault, more the fault of AMD and their basic RAID controller. Just watch out for that.
            ",Ownership: 1 day to 1 week,9/21/2015 3:33:50 AM,4
1561,Best upgrade of my five-and-a-half-year-old build,"
Overall Review:
            Whether you're using a computer that old (like the one that I have from 2010) or building a new Skylake system (even though they're touting PCIe SSD support A LOT!), this SSD is the best choice for most people.At first, I was concerned that I might be using the SSD too much that I could wear it out before the five-year warranty is up...but since then, it has dropped down to much more acceptable levels. The endurance level is so high you'd be writing to the SSD 80GB/day every day to reach the 150TB endurance rating in five years! Most people like me don't write to the SSD 80GB/day (I used up roughly twice as much in the first day to install the OS and the applications, but I think that's the only time you'll be doing such a lot of writes in one day), so the 850 EVO should be fine for most users (despite the fact we've got faster SSDs, such as the 850 PRO and Intel's 750, at a much higher price while, in my opinion, doesn't accelerate as much in turning on the computer, using everyday applications and turning off the computer; it would only benefit in content-creating applications such as Adobe's Creative Suite of programs). (Even when I'm using BitTorrent when my computer is idle, the SSD doesn't write very much! Right now, my total amount of data written to the SSD is less than the 80GB daily average.)My boot times for my computer, though, were roughly the same as without SSD (or marginally better), but I think it's because I have too much hard drives connected, and it may be because of the older platform.Overall, this is the upgrade I've been waiting for way too long. I've been using the 840 EVO SSD on my laptop, and it changed how I used my laptop, so why not my desktop computer? I've been really wanting this SSD for months, despite the age of my computer, and finally I am proud to be a very highly satisfied customer of the 850 EVO. Highly recommended, whether you're tired of using an HDD as an OS drive and need the extra kick of responsiveness of an SSD, or building your next dream computer build.My system specs: Core i7-860 (P55), 16GB DDR3 RAM, GTX 980, 3500GB of additional internal storage HDDs, 8500GB of additional external storage HDDs.
        ","
Pros:
                Probably this is the best upgrade I've done throughout my past five and a half years using my custom built computer (Core i7-860!). I've been upgrading throughout the recent years, from more storage hard drives, to system memory (maxed out at 16GB) and graphics card (GTX 980!), but nothing changed my computing experience than this 850 EVO SSD I bought. Simply put, this is the best SSD to choose for most people.Simply put: This upgrade has made my computer MUCH MORE RESPONSIVE than what it had been without using an SSD. Even if the computer that I'm using was from 2010!I know, there are much faster SSDs out there (especially those PCIe/NVMe SSDs)...but they're not so signifcant in terms of improving speed on everyday tasks, such as web browsing. These drives are much more suitable for content creation. Personally, the 850 EVO has pretty much sufficient performance necessary for most people, so this is the best value out there. Samsung Magician software is a plus, and so too the five-year warranty (most other drives in this segment have, say, three - or even two (!) - year warranties).
            ","
Cons:
                None so far. My motherboard is from 2010 that does NOT have 6Gb/s SATA ports, so the performance isn't as fast as, say, one with such ports, but that's a motherboard issue, not the SSD.
            ",Ownership: 1 week to 1 month,9/20/2015 11:21:23 PM,5
1562,Best SSD,,"
Pros:
                Deploy many of the SSDs and have had zero problems. Speed is incredible.  Only SSD brand I use because they are the best.
            ","
Cons:
                Wasn't free.
            ",Ownership: more than 1 year,9/20/2015 4:07:41 PM,5
1563,Best Upgrade Ever Made,"
Overall Review:
            Amazing performance.
        ","
Pros:
                This drive is fast! Benchmark speeds come extremely close to matching advertised transfer rates without RAPID enabled. This drive was used to upgrade my desktop's OS HDD from a 7200 1TB Seagate Barracuda and is also my first SSD. I am running a 3.4 GHz i7-2600k and 8GB of DDR3 1333MHz RAM. My boot times are 15 seconds or less and everything is instantly responsive. I checked the drive for bad sectors from the start and everything came back clean and running great since day 1. Anyone looking for a massive speed boost in their computer should definitely consider one of these. I do not regret my purchase one bit. When I open a program, it's there immediately. When I see the desktop on boot, it's ready to go that instant, no waiting for services to load. I will definitely be using these for future builds.
            ","
Cons:
                Pricey, but not as high as they used to be.
            ",Ownership: 1 week to 1 month,9/20/2015 7:46:18 AM,5
1564,Works great!,,"
Pros:
                Works as advertised not the fastest SSD but, its great if you just need a bunch of space for a reasonable price!
            ","
Cons:
                none.
            ",Ownership: 1 month to 1 year,9/19/2015 9:31:34 PM,4
1565,Absolutely Awesome,"
Overall Review:
            NewEgg: Shipping was quick and the package came to my house unharmed in about two days. As always am happy and pleased with NewEgg's service.
        ","
Pros:
                Considering the size and the manufacturer, you cannot beat the price for this drive. Installation was a snap, fit like a glove and I was up and running in no-time. I highly recommend you make use of the software that comes with it to help you optimize the drive. Noticed a big increase in speed after doing so, rather than messing around with OS settings on my own to make it work better. Trust me, make use of the options that come with the software. You won't regret it.I cannot speak to how well the drive mirror features work, however as I went for a clean install. But, based on my experience with the other piece of the software I cannot imagine it being any more difficult.
            ","
Cons:
                None
            ",Ownership: 1 week to 1 month,9/19/2015 12:22:02 PM,5
1566,Requires Intel RST?,"
Overall Review:
            After installing Samsung Magician and running the performance test I was disappointed to see that I was only getting two-thirds of the advertised random read/write speeds.   After several Internet searches I discovered that this was not uncommon with the Samsung 850 EVO and that I would have to install Intel's Rapid Storage Technology to achieve the advertised results.  Samsung gets around this little fact by advertising ""up to"".  A bit deceptive if you ask me.
        ","
Pros:
                Compact, nice price per GB, easy to install
            ","
Cons:
                Required installation of  updated Intel RST AHCI drivers to get advertised random speeds, a fact Samsung fails to mention in their spec lists.
            ",Ownership: 1 day to 1 week,9/19/2015 8:46:51 AM,4
1567,Overall I am very pleased.,"
Overall Review:
            Not really a con, persay, but I left a 5SSD RAID 0 for this drive. They were OLD SSDs, and this has the feel those dives did, but half the throughput.I imagine 3 of these in RAID5 might change my mind about them though.
        ","
Pros:
                Fast enough.Cost is good.Very clean install.3-D Vert. (At least for me its a pro)
            ","
Cons:
                I had hoped for a bit more throughput.
            ",Ownership: 1 week to 1 month,9/18/2015 9:26:37 PM,4
1568,SSD performance,,"
Pros:
                * I have one in my laptop because of low idle power, and in my desktop for my OS + programs that require fast disk access.* High read/write, IO seems to be a bit below advertised at 75000 IOP/s.* Reported high endurance at around 2 PB.
            ","
Cons:
                * Somewhat pricy. I could have went with an OCZ Arc for my desktop without any cons. It has a higher idle power, but that's fine.
            ",Ownership: 1 month to 1 year,9/18/2015 7:44:01 PM,5
1569,Serious performance boost,"
Overall Review:
            Short of a whole new setup(i.e. motherboard, processor, ram) this is the most impressive performance boost I've seen out of changing a single component. The difference between this and a mechanical har drive is astounding. Highly recommended
        ","
Pros:
                Fast. Extremely fast. fair capacity
            ","
Cons:
                0
            ",Ownership: 1 month to 1 year,9/18/2015 5:06:34 AM,5
1570,Fast Drivr,,"
Pros:
                Plugged it in and Windows 10 recognized it. All you have to do is give the drive a letter.
            ","
Cons:
                no cons
            ",Ownership: 1 day to 1 week,9/17/2015 2:38:48 PM,5
1571,owner/builder,,"
Pros:
                awesome drives, fast, reliable, easy to install and set up I own 5 of these drives, some I have been running almost a year.  Never a problem. they work good with HDD multi hard drive systems.
            ","
Cons:
                NONE
            ",Ownership: 1 month to 1 year,9/17/2015 7:25:56 AM,5
1572,Great Drive,"
Overall Review:
            Comes with great software from Samsung to clone your old drive onto the new one.
        ","
Pros:
                Fast and inexpensive SSD
            ","
Cons:
                Fast, Inexpensive, SSD
            ",Ownership: 1 week to 1 month,9/17/2015 5:13:21 AM,5
1573,Hangs on boot,"
Overall Review:
            The fact that it hangs on boot really ruined it for me.
        ","
Pros:
                It's fast but you don't notice too much of a difference most of the time, as in, when you are browsing the net. Firefox starts up faster and load times for anything are faster.
            ","
Cons:
                Hang on boot. Clean install of genuine Windows 10 Pro and for some reason it will randomly hang on boot. Usually hitting the reset button will fix it. Last night I restarted it 10 times to try and get it to boot from the SSD. I have multiple drives in my computer so I went into the bios and selected another drive with Window 10 Pro, and it loaded right away. I have an ASUS board with the latest BIOS. There is some issue with these drives. I hope someone from samsung could clear up what causes this. MBR and everything in windows diagnostics showed it was all fine, so not like I had corrupted files on the drive. Btw this rarely happens on shutdown, so i always shutdown my computer, it is more likely to happen during a restart. Either way you are at risk for it not booting.
            ",Ownership: 1 month to 1 year,9/16/2015 2:07:42 PM,2
1574,SAMSUNG 850 EVO,"
Overall Review:
            Leery about the drives reliability considering the reviews and I got a DOA also.
        ","
Pros:
                Fast and cheap
            ","
Cons:
                First drive was DOA, 2nd drive was fine. No mounting brackets.
            ",Ownership: 1 month to 1 year,9/16/2015 8:20:33 AM,4
1575,For the price of one!,,"
Pros:
                Fantastic ssd, boots quick. For the price of one 74gb velociraptor in 2005 you can have two of these in raid 0 achieving 9x the speed. Only downside is that you don't have that awesome 10,000 rpm platter going wheeeeeeeee! all the time in your case.
            ","
Cons:
                Used the supplied software to clone over my previous OCZ Vertex drive, and the program corrupted my boot partition. Had to do a full restore from a back up that I had recently performed.
            ",Ownership: 1 month to 1 year,9/15/2015 6:10:41 PM,5
1576,Great SSD,"
Overall Review:
            Price varies widely, look up highs and lows and be patient for good price!
        ","
Pros:
                Sata III, nice Samsung hard drive managing program that comes with.
            ","
Cons:
                None so far.
            ",Ownership: 1 week to 1 month,9/15/2015 6:18:32 AM,5
1577,850 evo,"
Overall Review:
            the screws to mount the ssd with, is it to much to ask, to have them thrown in with it, would it really. i ended up driving to the next town that had a computer store, to purchase screws that small
        ","
Pros:
                well it is an ssd and i does all the things that ssd does. it stores data and it's fast
            ","
Cons:
                the software that it comes with is crape. it would not clone windows 10. but i did fine a free on that did. i found a lot of other people with the same issue. and like me bought the 850 evo cause it came with the soft ware
            ",Ownership: less than 1 day,9/14/2015 12:44:26 PM,4
1578,Samsung EVO 850 250GB,,"
Pros:
                This SSD is fast. Boot time is 10 to 15 sec.
            ","
Cons:
                None
            ",Ownership: 1 week to 1 month,9/14/2015 5:23:06 AM,5
1579,Great SSD,,"
Pros:
                This drive is very fast, I loaded a fresh copy of window 10 on it in 9 minutes and 55 seconds. I also did bench marking test on it as well and the results were pretty close to what they say they are. I bought this drive for a ASUS Transformer I7 5500U w/ 8GB of ram, this drive made this notebook a totally different machine I couldn't be happier. Great drive for the price.
            ","
Cons:
                I don't have any at the moment.
            ",Ownership: 1 day to 1 week,9/13/2015 6:43:05 PM,5
1580,Amazing,"
Overall Review:
            This was my first experience with solid state drives and I am extremely impressed.  After using it for several months I find it hard to use regular hard drives and am planning to add a 500GB version of this SSD into my desktop at some point.  Would recommend to anyone wanting an SSD.
        ","
Pros:
                -Relatively cheap for an SSD-Enough space for Windows 7 Ultimate & several 40GB games-Installation times are much faster than even the fastest HDDs-Windows 7 boots up in less than 10 seconds-Most games benefit from near instant load times-Applications and the OS in general are very responsive
            ","
Cons:
                -Only 250GB, with 48GB free at the time of this review-Doesn't do my laundry
            ",Ownership: 1 month to 1 year,9/13/2015 12:06:22 PM,5
